Sample_ref,SurveyPeriod,Institute_H,Oocyte_stage_H,Hydration_state,Egg_stage_H,POF_H,Spent_H,Massive_atr_H,Early_alpha_H,Discard_H,Comment_H,Fecundity_H,Spawn_marker_H,Spawning_H,Spawn_atretic_H,Batch_fec_H,Age,CalendarDay,Country,FishLength,FishWeight,Maturity Walsh,Maturity WKMATCH 2012 revised,OvaryWeight,SamplingApproach,StartLatitude,StartLongitude
C151,4,IMR,4,0,0,0,0,0,1,0,Lot of beta atresia,yes,no,no,no,no,10,111,GB-SCT,39.3,430,3,,21.5,,59.5114,-5.1075
C152,4,WMR,2,0,0,1,0,0,0,0,Strange looking oocytes and gonad is close to massive atresia,no,yes,no,no,no,7,111,GB-SCT,38.4,360.2,4,,9.4,,59.5114,-5.1075
C153,4,AZTI,4,0,2,1,0,1,1,0,,no,yes,no,no,no,9,112,GB-SCT,37.5,372,5,,10.7,,60.1299,-4.1096
C155,4,DTU,2,0,0,1,0,1,0,0,Late atresia. Spawning ended,no,yes,no,no,no,10,112,GB-SCT,37.8,420,5,,6.9,,60.1299,-4.1096
C156,4,IMR,3,0,0,0,0,0,0,0,Lot of beta atresia,yes,no,no,no,no,,112,GB-SCT,39.4,464.6,3,,16.7,,60.1299,-4.1096
C157,4,WMR,2,0,0,0,0,1,0,0,,no,no,no,no,no,9,112,GB-SCT,39.3,447,5,,7.4,,60.1299,-4.1096
C158,4,AZTI,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,10,112,GB-SCT,38.6,426.4,3,,46.3,,60.1299,-4.1096
C160,4,DTU,2,0,0,0,0,1,1,0,Spawning ended,no,no,no,no,no,,112,GB-SCT,38,341.2,5,,9.1,,60.1299,-4.1096
C161,4,IMR,2,0,2,0,0,1,1,0,,no,yes,no,no,no,7,112,GB-SCT,36.8,356.4,5,,6.4,,60.1299,-4.1096
C162,4,WMR,2,0,0,1,0,0,0,0,,no,yes,no,no,no,9,112,GB-SCT,38.3,408.4,5,,8.3,,60.1299,-4.1096
C163,4,AZTI,2,0,0,1,1,0,1,0,,no,yes,no,no,no,13,112,GB-SCT,40.1,473.6,5,,8,,60.1299,-4.1096
C165,4,DTU,5,1,0,1,0,0,0,0,,no,yes,yes,no,no,11,112,GB-SCT,38.4,424,4,,30.8,,60.1299,-4.1096
C166,4,IMR,5,3,1,0,0,1,1,0,90%?,no,yes,no,no,no,9,112,GB-SCT,38,391.8,4,,10,,60.1299,-4.1096
C167,4,WMR,3,0,0,1,0,0,1,0,slide deels onscherp,no,yes,yes,yes,no,6,112,GB-SCT,37.7,348.8,5,,8.8,,60.1299,-4.1096
C168,4,AZTI,2,0,0,1,1,0,1,0,,no,yes,no,no,no,15,112,GB-SCT,39.2,377,5,,11.7,,60.1299,-4.1096
C170,4,DTU,2,0,0,0,0,1,0,0,Spawning ended,no,no,no,no,no,15,112,GB-SCT,40.2,463.2,4,,11.3,,60.1299,-4.1096
C171,4,IMR,4,0,0,0,0,0,1,0,,yes,no,no,no,no,10,112,GB-SCT,37.4,366.4,4,,19.1,,60.1299,-4.1096
C172,4,WMR,2,0,0,1,0,0,0,0,Difficult to see if it is old POF or Late Atresia,no,yes,no,no,no,10,112,GB-SCT,39.4,391.8,6,,6.7,,60.1299,-4.1096
C173,4,AZTI,4,0,2,1,0,0,0,0,,no,yes,yes,no,no,4,112,GB-SCT,36,276.3,3,,14,,60.1299,-4.1096
C175,4,DTU,4,0,0,0,0,0,1,0,Late atresia,yes,no,no,no,no,10,112,GB-SCT,38.2,394.2,4,,14.5,,60.1299,-4.1096
C176,4,IMR,4,0,0,0,0,1,1,0,,no,no,no,no,no,10,112,GB-SCT,41.1,433.8,4,,12.2,,60.1299,-4.1096
C177,4,WMR,4,0,0,0,0,0,0,0,A lot of old atresia,yes,no,no,no,no,11,112,GB-SCT,37.4,324,5,,9.8,,60.1299,-4.1096
C178,4,AZTI,4,0,0,0,0,0,0,0,,yes,no,no,no,no,9,112,GB-SCT,37.4,440.5,3,,34.3,,60.1299,-4.1096
C180,4,DTU,2,0,0,0,1,0,0,0,Late atresia. Poorly preserved. Spawning ended,no,no,no,no,no,13,112,GB-SCT,40.7,457.4,6,,7.7,,60.1299,-4.1096
C181,4,IMR,2,0,0,0,0,1,0,0,4 stl whitw holes,no,no,no,no,no,10,112,GB-SCT,38.1,402.8,5,,7.5,,60.1299,-4.1096
C182,4,WMR,4,0,0,0,0,0,1,0,,yes,no,no,no,no,,112,GB-SCT,37,342.4,5,,12.3,,60.1299,-4.1096
C183,4,AZTI,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,8,112,GB-SCT,38.1,402.5,4,,20.2,,60.1299,-4.1096
C185,4,DTU,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,8,112,GB-SCT,37.9,388.4,3,,38.4,,60.1299,-4.1096
C186,4,IMR,4,0,1,1,0,0,0,0,Lot of beta atresia,no,yes,yes,no,no,13,112,GB-SCT,39.1,443.2,4,,12.4,,60.1299,-4.1096
C187,4,WMR,5,3,1,0,0,0,0,0,,no,yes,yes,no,no,7,112,GB-SCT,37.9,434.8,4,,56.8,,60.1299,-4.1096
C188,4,AZTI,1,0,0,1,1,0,1,0,,no,yes,no,no,no,12,114,GB-SCT,39.5,313.8,2,,5.8,,60.449,-2.4386
C190,4,DTU,5,1,0,1,0,0,0,0,,no,yes,yes,no,no,10,114,GB-SCT,37.6,413.4,3,,36.1,,60.449,-2.4386
C191,4,IMR,4,0,0,0,0,0,0,0,,yes,no,no,no,no,12,114,GB-SCT,37.5,351.2,5,,7.3,,60.449,-2.4386
C192,4,WMR,2,0,0,1,0,0,1,0,,no,yes,no,no,no,10,114,GB-SCT,38.4,367.4,5,,7.5,,60.449,-2.4386
C193,4,AZTI,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,15,114,GB-SCT,40,527.2,4,,32.2,,60.449,-2.4386
C195,4,DTU,3,0,0,0,0,0,0,0,Few old atretic,yes,no,no,no,no,8,114,GB-SCT,36.9,401.2,3,,26.4,,60.449,-2.4386
C196,4,IMR,5,3,1,0,0,0,0,0,,no,yes,yes,no,no,6,114,GB-SCT,33.6,301.4,4,,37.5,,60.449,-2.4386
C197,4,WMR,2,0,0,0,0,0,0,0,lots of old atresia,no,no,no,no,no,6,114,GB-SCT,36.4,331.2,2,,,,60.449,-2.4386
C198,4,AZTI,2,0,0,1,0,0,1,0,,no,yes,no,no,no,12,114,GB-SCT,41,454.6,5,,,,60.449,-2.4386
C200,4,DTU,3,0,0,0,0,0,0,0,Few old atretic,yes,no,no,no,no,6,114,GB-SCT,34.6,305.2,4,,19,,60.449,-2.4386
C201,4,IMR,2,0,0,0,0,0,0,0,,no,no,no,no,no,3,114,GB-SCT,31,198.8,2,,4.4,,60.449,-2.4386
C202,4,WMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,9,114,GB-SCT,35.2,360,4,,24.2,,60.449,-2.4386
C203,4,AZTI,5,1,0,0,0,0,0,0,,no,yes,yes,no,no,6,114,GB-SCT,35.4,308.8,3,,30.5,,60.449,-2.4386
C205,4,DTU,5,2,0,1,0,0,0,0,,no,yes,yes,no,yes,14,114,GB-SCT,40.2,526.2,4,,42.6,,60.449,-2.4386
C206,4,IMR,2,0,1,1,1,0,0,0,,no,yes,no,no,no,13,114,GB-SCT,39.5,430.2,4,,10.4,,60.449,-2.4386
C207,4,WMR,4,0,0,0,0,0,0,0,lot of atresia,yes,no,no,no,no,,114,GB-SCT,38.3,378.5,3,,12.5,,60.449,-2.4386
C208,4,AZTI,2,0,0,1,1,0,1,0,,no,yes,no,no,no,12,114,GB-SCT,39.3,393.4,3,,11.1,,60.449,-2.4386
C210,4,DTU,4,0,0,0,0,0,1,0,Many late atretic. Mass atresia?,yes,no,no,no,no,14,114,GB-SCT,40.8,511.2,3,,38.8,,60.449,-2.4386
C211,4,IMR,2,0,1,0,0,0,0,0,,no,yes,no,no,no,8,114,GB-SCT,38.8,391.6,3,,10.2,,60.449,-2.4386
C212,4,WMR,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,10,114,GB-SCT,40.1,497.4,4,,38.2,,60.449,-2.4386
C213,4,AZTI,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,7,114,GB-SCT,36.9,394.6,4,,26.9,,60.449,-2.4386
C215,4,DTU,3,0,0,0,0,0,1,0,Many late atretic,yes,no,no,no,no,13,114,GB-SCT,39.5,416.9,3,,26.5,,60.449,-2.4386
C216,4,IMR,3,0,0,0,0,0,1,0,,yes,no,no,no,no,13,114,GB-SCT,40.9,445.8,3,,28.7,,60.449,-2.4386
C217,4,WMR,4,0,0,0,0,0,0,1,,no,no,no,no,no,6,114,GB-SCT,37.1,313.2,3,,18.5,,60.449,-2.4386
C218,4,AZTI,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,12,114,GB-SCT,40.1,469.2,4,,32,,61.0227,-1.5015
C220,4,DTU,4,0,0,0,0,0,0,0,,yes,no,no,no,no,13,114,GB-SCT,40.2,466.2,4,,34.1,,61.0227,-1.5015
C221,4,IMR,4,0,0,1,0,0,0,1,Discarded because uncertain about ovary ID,no,yes,no,no,no,11,114,GB-SCT,40.3,509.2,3,,18.6,,61.0227,-1.5015
C222,4,WMR,3,0,0,0,0,0,0,0,lot of old atresia,yes,no,no,no,no,15,114,GB-SCT,40.6,471.8,3,,17,,61.0227,-1.5015
C223,4,AZTI,2,0,0,1,0,0,1,0,,no,yes,no,no,no,11,114,GB-SCT,40.8,473.8,5,,12.9,,61.0227,-1.5015
C225,4,DTU,2,0,0,0,0,1,1,0,Spawning ended,no,no,no,no,no,10,114,GB-SCT,38.2,373,5,,10.6,,61.0227,-1.5015
C226,4,IMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,12,114,GB-SCT,40.5,508.3,3,,24.9,,61.0227,-1.5015
C227,4,WMR,3,0,0,0,0,0,0,0,bad slide,yes,no,no,no,no,6,114,GB-SCT,36.5,403.5,3,,23.7,,61.0227,-1.5015
C228,4,AZTI,2,0,0,1,0,0,0,0,,no,yes,no,no,no,3,114,GB-SCT,32.4,263,5,,8.5,,61.0227,-1.5015
C230,4,DTU,3,0,0,0,0,0,0,0,,yes,no,no,no,no,8,114,GB-SCT,38.5,447.4,3,,15.3,,61.0227,-1.5015
C231,4,IMR,2,0,0,0,0,0,0,0,,no,no,no,no,no,8,114,GB-SCT,37.4,398.8,6,,9.8,,61.0227,-1.5015
C232,4,WMR,2,0,0,1,0,0,1,0,,no,yes,no,no,no,13,114,GB-SCT,39.2,480.6,5,,11.8,,61.0227,-1.5015
C233,4,AZTI,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,4,114,GB-SCT,36,351.4,3,,16.5,,61.0227,-1.5015
C235,4,DTU,4,0,0,0,0,0,0,0,,yes,no,no,no,no,5,114,GB-SCT,36.4,356.2,3,,21.1,,61.0227,-1.5015
C236,4,IMR,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,6,114,GB-SCT,33.8,319.4,3,,,,61.0227,-1.5015
C237,4,WMR,3,0,0,0,0,0,0,0,old atresia in sample,yes,no,no,no,no,6,114,GB-SCT,34.8,383.2,4,,12.8,,61.0227,-1.5015
C238,4,AZTI,3,0,0,1,0,0,0,0,,no,yes,yes,no,no,12,114,GB-SCT,38,484.5,5,,19.8,,61.0227,-1.5015
C240,4,DTU,2,0,0,0,0,1,0,0,Spawning ended,no,no,no,no,no,,114,GB-SCT,40.8,524.4,5,,12.9,,61.0227,-1.5015
C241,4,IMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,3,114,GB-SCT,34.6,336.4,3,,26.7,,61.0227,-1.5015
C242,4,WMR,3,0,0,0,0,0,0,0,old atresia in sample,yes,no,no,no,no,14,114,GB-SCT,39.6,455.2,3,,27.7,,61.0227,-1.5015
C243,4,AZTI,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,11,114,GB-SCT,37.9,402.4,3,,37.5,,61.0227,-1.5015
C245,4,DTU,4,0,2,1,0,0,0,0,,no,yes,yes,no,no,8,114,GB-SCT,38.5,402,4,,21.1,,61.0227,-1.5015
C246,4,IMR,5,3,1,0,0,0,1,0,,no,yes,yes,yes,no,12,114,GB-SCT,39.6,482,4,,34,,61.0227,-1.5015
C247,4,WMR,3,0,0,1,0,0,0,0,,no,yes,yes,no,no,7,114,GB-SCT,37.6,442,5,,17.3,,61.0227,-1.5015
C248,4,AZTI,5,1,0,1,0,0,0,0,,no,yes,yes,no,no,8,114,GB-SCT,38,397.8,4,,32.2,,61.0227,-1.5015
C250,4,DTU,4,0,2,1,0,0,0,0,,no,yes,yes,no,no,11,114,GB-SCT,39.4,412.2,4,,28.7,,61.0227,-1.5015
C251,4,IMR,3,0,2,0,0,0,0,0,,no,yes,yes,no,no,13,114,GB-SCT,39,462.2,4,,39.8,,61.0227,-1.5015
C252,4,WMR,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,14,114,GB-SCT,40.6,403.8,4,,45,,61.0227,-1.5015
C253,4,AZTI,5,3,1,1,0,0,1,0,,no,yes,yes,yes,no,12,114,GB-SCT,38.7,400.6,4,,21.1,,61.0227,-1.5015
C255,5,DTU,5,1,0,1,0,0,0,0,Late atresia,no,yes,yes,no,no,11,137,GB-SCT,39.9,475.6,5,,16.2,,56.75,-9.3
C256,5,IMR,3,0,0,0,0,0,0,0,,yes,no,no,no,no,6,137,GB-SCT,35.8,377.3,4,,24.5,,56.75,-9.3
C257,5,WMR,5,2,0,1,0,0,0,0,,no,yes,yes,no,yes,5,137,GB-SCT,34.3,348,4,,37.1,,56.75,-9.3
C258,5,AZTI,2,0,2,1,1,0,1,0,,no,yes,no,no,no,9,140,GB-SCT,39.8,490,5,,8.4,,54.79,-10.3745
C260,5,DTU,1,0,0,0,1,0,0,0,Big white areas in the lamellae. Spawning ended,no,no,no,no,no,8,140,GB-SCT,38,410.4,6,,4.6,,54.79,-10.3745
C261,5,IMR,4,0,1,1,0,0,0,0,,no,yes,yes,no,no,8,140,GB-SCT,37.1,440.6,3,,26,,54.79,-10.3745
C262,5,WMR,2,0,0,1,0,0,0,0,,no,yes,no,no,no,7,140,GB-SCT,37.3,383.4,5,,5,,54.79,-10.3745
C263,5,AZTI,2,0,2,1,1,0,1,0,,no,yes,no,no,no,8,140,GB-SCT,38,431.8,6,,5.2,,54.79,-10.3745
C265,5,DTU,2,0,0,0,0,1,0,0,Many late atretic. Spawning ended,no,no,no,no,no,10,140,GB-SCT,38.6,446.6,5,,7,,54.79,-10.3745
C266,5,IMR,3,0,2,0,0,0,1,0,,no,yes,yes,yes,no,9,140,GB-SCT,37,476.8,5,,5.6,,54.79,-10.3745
C267,5,WMR,2,0,0,1,0,0,0,0,,no,yes,no,no,no,6,140,GB-SCT,34.7,329.4,6,,3.1,,54.79,-10.3745
C268,5,AZTI,5,3,0,1,0,0,0,0,,no,yes,yes,no,yes,6,140,GB-SCT,34.2,346.4,4,,30.9,,54.79,-10.3745
C270,5,DTU,1,0,0,0,1,0,0,0,Big white areas in the lamellae. Spawning ended,no,no,no,no,no,6,140,GB-SCT,37,391.2,6,,4.9,,54.79,-10.3745
C271,5,IMR,1,0,0,0,0,0,0,0,,no,no,no,no,no,6,140,GB-SCT,36.2,377.2,6,,3.6,,54.79,-10.3745
C272,5,WMR,1,0,0,0,0,0,0,0,,no,no,no,no,no,8,140,GB-SCT,37.1,378.6,6,,4.5,,54.79,-10.3745
C273,5,AZTI,1,0,2,1,1,0,0,0,,no,yes,no,no,no,7,140,GB-SCT,37.9,381.4,6,,4.8,,54.79,-10.3745
C276,5,IMR,1,0,0,0,0,0,0,0,,no,no,no,no,no,10,140,GB-SCT,40,541.6,6,,4.8,,54.79,-10.3745
C277,5,WMR,5,0,1,0,0,1,0,0,,no,yes,no,no,no,11,140,GB-SCT,38,461.8,5,,6,,54.79,-10.3745
C278,5,AZTI,5,1,0,1,0,0,0,0,,no,yes,yes,no,no,11,140,GB-SCT,37.2,421.4,4,,32.9,,54.79,-10.3745
C280,5,DTU,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,11,147,GB-SCT,37.9,452.2,5,,11.5,,56.7501,-14.1752
C281,5,IMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,10,150,GB-SCT,37.4,481.2,4,,26.2,,58.736,-13.291
C282,5,WMR,2,0,0,0,0,0,0,0,0,no,no,no,no,no,9,150,GB-SCT,38.8,516.6,6,,5.4,,58.736,-13.291
C286,7,IMR,5,3,1,0,0,0,1,0,,no,yes,yes,yes,no,3,193,GB-SCT,34.4,360.4,5,,6.2,,49.325,-11.05
C287,7,WMR,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,4,193,GB-SCT,33.2,302.4,5,,4.7,,49.325,-11.05
C288,7,AZTI,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,2,193,GB-SCT,32.5,266.1,5,,4.2,,49.325,-11.05
C290,7,DTU,1,0,0,0,1,0,0,1,Abnorm. Poorly preserved,no,no,no,no,no,2,193,GB-SCT,33.5,314.4,2,,1.9,,49.325,-11.05
C291,7,IMR,5,1,2,1,0,0,0,0,". Ine: sto 5-3 her i tabellen, men det var notert 5-1 på bildet som er det riktig. Endret derfor i tabellen. ",no,yes,yes,no,no,2,193,GB-SCT,32.5,285.3,5,,5,,49.325,-11.05
C292,7,WMR,1,0,1,1,0,1,0,0,,no,yes,no,no,no,4,193,GB-SCT,32.9,298.2,5,,3.1,,49.325,-11.05
C293,7,AZTI,2,0,0,1,0,1,1,0,,no,yes,no,no,no,2,193,GB-SCT,34.7,337,5,,5.4,,49.325,-11.05
C295,7,DTU,5,3,0,1,0,0,0,0,,no,yes,yes,no,yes,3,193,GB-SCT,34.6,305,5,,5.4,,49.325,-11.05
C296,7,IMR,1,0,0,0,1,0,0,0,Mange hvite hull. Ine: Endret til spent.,no,no,no,no,no,5,202,GB-SCT,34.4,311.8,6,,2.7,,51.43,-10.99
C297,7,WMR,1,0,0,0,0,0,0,0,old atresia in sample,no,no,no,no,no,7,202,GB-SCT,38.4,381.4,6,,4,,51.43,-10.99
C298,7,AZTI,1,0,2,1,1,0,0,0,,no,yes,no,no,no,2,202,GB-SCT,34.2,315.4,6,,3.1,,51.43,-10.99
C300,7,DTU,4,0,0,0,0,1,1,0,,no,no,no,no,no,4,202,GB-SCT,34.2,317.8,5,,6.1,,51.43,-10.99
C301,7,IMR,4,0,1,1,0,0,1,0,"Ine: Den var registrert som C300eE, endret den til C301eE",no,yes,yes,yes,no,6,202,GB-SCT,36.1,351,4,,12.1,,51.43,-10.99
C302,7,WMR,1,0,0,0,0,1,0,0,,no,no,no,no,no,2,202,GB-SCT,32.3,289.2,6,,1.9,,51.43,-10.99
C303,7,AZTI,4,0,2,1,0,0,0,0,,no,yes,yes,no,no,8,204,GB-SCT,38.9,522,4,,32.9,,54.883,-9.921
C305,7,DTU,1,0,0,0,1,0,0,0,Spawning ended,no,no,no,no,no,2,204,GB-SCT,31.8,208.5,6,,2.2,,54.883,-9.921
C306,7,IMR,2,0,0,0,0,1,1,0,Mange hvite hull,no,no,no,no,no,4,204,GB-SCT,33.2,274.2,5,,4.9,,54.883,-9.921
E001,6,IMR,2,0,0,0,1,0,1,0,Mange hvite hull,no,no,no,no,no,13,166,NO,40.5,485.0812223,6,D,6.7327,R,61.257,-12.8495
E002,6,WMR,2,0,0,0,0,1,1,0,,no,no,no,no,no,16,166,NO,40,477.4043681,3,Bb,10.1165,R,61.257,-12.8495
E003,6,AZTI,1,0,0,1,1,0,1,0,,no,yes,no,no,no,12,166,NO,40.5,496.5965035,6,D,5.4074,R,61.257,-12.8495
E004,6,IEO,2,0,0,0,1,0,0,0,,no,no,no,no,no,9,166,NO,40,471.1669241,6,D,4.7707,R,61.257,-12.8495
E005,6,DTU,5,3,1,1,0,0,1,0,,no,yes,yes,yes,no,6,166,NO,34,296.9982954,6,D,8.2853,R,61.257,-12.8495
E006,6,IMR,3,0,1,0,0,1,1,0,  ,no,yes,no,no,no,13,166,NO,42,551.2940894,6,D,7.7959,R,61.257,-12.8495
E007,6,WMR,5,3,1,0,0,0,1,0,,no,yes,yes,yes,no,,166,NO,37,374.2466404,6,D,6.8942,R,61.257,-12.8495
E008,6,AZTI,1,0,0,1,1,0,0,0,,no,yes,no,no,no,10,166,NO,39.5,446.2171481,6,D,5.5997,R,61.257,-12.8495
E009,6,IEO,2,0,0,0,1,0,0,0,,no,no,no,no,no,6,166,NO,38.5,453.4141989,6,D,4.6644,R,61.257,-12.8495
E010,6,DTU,2,0,0,0,1,0,0,0,Big white areas in the lamellae. Spawning ended,no,no,no,no,no,12,166,NO,39.5,441.8989176,6,D,4.9419,R,61.257,-12.8495
E011,6,IMR,2,0,0,0,0,1,1,0,,no,no,no,no,no,3,166,NO,33,267.2504855,3,Bb,10.3624,R,61.257,-12.8495
E012,6,WMR,1,0,2,0,0,0,0,0,,no,yes,no,no,no,10,166,NO,41.5,556.5719267,6,D,5.7686,R,61.257,-12.8495
E013,6,AZTI,1,0,0,1,1,0,0,0,,no,yes,no,no,no,5,166,NO,36,370.4082133,6,D,3.2232,R,61.257,-12.8495
E014,6,IEO,1,0,0,0,1,0,0,0,,no,no,no,no,no,11,166,NO,39,460.6112497,6,D,5.3535,R,61.257,-12.8495
E015,6,DTU,1,0,0,0,1,0,0,0,Big white areas in the lamellae. Spawning ended,no,no,no,no,no,8,166,NO,37.5,421.2673721,6,D,5.292,R,61.257,-12.8495
E016,6,IMR,2,0,0,0,1,1,1,0,Mange hvite hull,no,no,no,no,no,3,166,NO,33.5,292.6800649,6,D,6.1305,R,61.257,-12.8495
E017,6,WMR,1,0,0,0,0,0,0,0,lots of old atresia,no,no,no,no,no,13,166,NO,41,539.7788082,6,D,5.9718,R,61.257,-12.8495
E018,6,AZTI,5,3,1,0,0,0,0,0,,no,yes,yes,no,no,16,166,NO,40,494.1974866,6,D,5.9577,R,61.257,-12.8495
E019,6,IEO,1,0,2,0,1,0,0,0,,no,yes,no,no,no,13,166,NO,38.5,427.0250127,6,D,5.4611,R,61.257,-12.8495
E020,6,DTU,1,0,0,0,1,0,0,0,Big white areas in the lamellae. Spawning ended,no,no,no,no,no,10,166,NO,41,522.9856897,6,D,6.0958,R,61.257,-12.8495
E021,6,IMR,2,0,0,0,1,1,0,0,Noen hvite huller,no,no,no,no,no,11,166,NO,40,506.1925712,6,D,5.5458,R,61.257,-12.8495
E022,6,WMR,1,0,0,0,0,0,0,0,old atresia,no,no,no,no,no,10,166,NO,40.5,503.3137509,6,D,6.8476,R,61.257,-12.8495
E023,6,AZTI,1,0,0,1,1,0,1,0,,no,yes,no,no,no,9,166,NO,40,527.3039202,6,D,6.0328,R,61.257,-12.8495
E024,6,IEO,1,0,2,0,1,0,0,0,A lot of old atresia.,no,yes,no,no,no,6,166,NO,37,434.2220635,6,D,5.0509,R,61.257,-12.8495
E025,6,DTU,1,0,0,0,1,0,0,0,Big white areas in the lamellae. Thick tunica. Spawning ended,no,no,no,no,no,11,166,NO,38.5,435.1816703,6,D,4.3759,R,61.257,-12.8495
E026,6,IMR,4,0,0,0,0,1,1,0,,no,no,no,no,no,3,166,NO,35,350.7362745,5,Cb,11.7329,R,61.257,-12.8495
E027,6,WMR,1,0,0,0,0,0,0,0,onscherp,no,no,no,no,no,7,166,NO,39,440.4595075,6,D,5.4008,R,61.257,-12.8495
E028,6,AZTI,4,0,0,1,0,1,1,0,Postspawning,no,yes,no,no,no,8,166,NO,38.5,445.7373447,5,Cb,11.0142,R,61.257,-12.8495
E029,6,IEO,4,0,0,1,0,1,1,0,,no,yes,no,no,no,10,166,NO,37,387.2013318,6,D,9.2059,R,61.257,-12.8495
E030,6,DTU,1,0,0,0,1,0,0,0,Big white areas in the lamellae. Late atresia. Spawning ended,no,no,no,no,no,6,166,NO,39.5,490.3590595,6,D,5.5049,R,61.257,-12.8495
G030,3,DTU,4,0,0,1,0,1,1,0,Weird angle of section. Atresia,no,yes,no,no,no,10,99,DE,36.3,349,5,Cb,11.7,R,49.46,-10.28
G031,3,IMR,1,0,1,0,0,1,0,0,"1,0,1,0,0,1,0,0",no,yes,no,no,no,11,99,DE,38.2,398,5,Cb,6.9,R,49.46,-10.28
G032,3,WMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,15,99,DE,39.3,438,5,Cb,15.3,R,49.46,-10.28
G033,3,AZTI,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,14,99,DE,37.9,395,5,Cb,18.9,R,49.46,-10.28
G034,3,DTU,4,0,0,0,0,0,0,0,Longitudinal section. One side tunica. Atresia,yes,no,no,no,no,14,99,DE,38.4,482,5,Cb,23.8,R,49.46,-10.28
G035,3,DTU,4,0,0,1,0,1,0,0,Longitudinal section. One side tunica. Atresia,no,yes,no,no,no,11,99,DE,35.2,348,5,Cb,9.6,R,49.46,-10.28
G036,3,IMR,4,0,0,0,0,0,1,0,ikke pof,yes,no,no,no,no,11,99,DE,37.8,362,5,Cb,8.2,R,49.46,-10.28
G037,3,WMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,5,99,DE,34.2,300,5,Cb,17.5,R,49.46,-10.28
G038,3,AZTI,3,0,0,1,0,1,1,0,,no,yes,no,no,no,10,99,DE,37,372,5,Cb,13,R,49.46,-10.28
G039,3,DTU,5,1,0,1,0,0,1,0,Longitudinal section. Atresia,no,yes,yes,yes,no,11,99,DE,37.9,400,5,Cb,16.7,R,49.46,-10.28
G040,3,DTU,4,0,0,1,0,0,1,0,No tunica. Atresia,no,yes,yes,yes,no,11,99,DE,37.4,430,5,Cb,27.2,R,49.46,-10.28
G041,3,IMR,5,3,1,1,0,0,0,0,,no,yes,yes,no,no,5,99,DE,35.2,321,4,3a,18,R,49.46,-10.28
G042,3,WMR,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,6,99,DE,36,335,5,Cb,11.8,R,49.46,-10.28
G043,3,AZTI,2,0,0,1,0,1,1,0,,no,yes,no,no,no,5,99,DE,34.3,295,5,Cb,7.6,R,49.46,-10.28
G044,3,IEO,4,0,0,1,0,0,1,0,A lot of atresia.,no,yes,yes,yes,no,4,99,DE,34.9,291,5,Cb,10.4,R,49.46,-10.28
G045,3,DTU,5,1,0,1,0,1,0,0,Longitudinal section. Atresia,no,yes,no,no,no,6,99,DE,36.4,317,5,Cb,9.6,R,49.46,-10.28
G046,3,IMR,4,0,0,0,0,0,1,0,ikke pof,yes,no,no,no,no,11,99,DE,37.1,364,5,Cb,12.7,R,49.46,-10.28
G047,3,WMR,3,0,0,1,0,0,0,0,,no,yes,yes,no,no,5,99,DE,36.4,332,5,Cb,9.4,R,49.46,-10.28
G048,3,AZTI,4,0,0,1,0,1,1,0,,no,yes,no,no,no,4,99,DE,33.2,257,5,Cb,6.3,R,49.46,-10.28
G049,3,IEO,4,0,0,1,0,0,1,0,,no,yes,yes,yes,no,10,99,DE,38.4,410,3,2b,28.6,R,49.46,-10.28
G050,3,DTU,4,0,0,1,0,0,0,0,Longitudinal section. One side tunica. Atresia,no,yes,yes,no,no,-9,99,DE,38.4,430,5,Cb,18.7,R,49.46,-10.28
G051,3,IMR,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,6,99,DE,35.5,330,5,Cb,17,R,49.46,-10.28
G052,4,WMR,3,0,0,0,0,0,1,0,,yes,no,no,no,no,11,104,DE,37.9,395,5,Cb,15.8,R,51.12,-10.2
G053,4,AZTI,4,0,0,1,0,0,0,0,,no,yes,yes,no,no,10,104,DE,38.4,445,3,2b,32.2,R,51.12,-10.2
G054,4,IEO,4,0,0,1,0,0,1,0,A lot of atresia.,no,yes,yes,yes,no,-9,104,DE,42.4,578,5,Cb,18.4,R,51.12,-10.2
